,Comm_10km,Comm_5km,Comm_3km,binomio,Group,LBCE,Genero,Especie,Estado,Localidade,mes,ano,sexo,trilha,LON,LAT,esforco_amostral,bioma,InfeccaoT_cruzi_Hemocultivo,Interpretacao_hemocultivo,Tipagem,InfeccaoT_cruzi_Ifat,Interpretacao_soro,Exame_fresco,Interpretacao_final,Infeccao_Leishmania,Interpretacao,Corpo,Cauda,Orelha,Pe_c_unha,Pe_s_unha,Peso,total_area_sqkm_Comm_3km,ForCov_Area_Sqkm_3km,ForCov_Prop_3km,Edge_length_km_3km,ForCov_5yrs_Area_Sqkm_3km,ForCov_5yrs_Prop_3km,Edge_5yrs_length_km_3km,ForLoss_Area_Sqkm_3km,Edge_length_change_km_3km,min_NDVI_3Km,mean_NDVI_3Km,max_NDVI_3Km,total_area_sqkm_Comm_5km,ForCov_Area_Sqkm_5km,ForCov_Prop_5km,Edge_length_km_5km,ForCov_5yrs_Area_Sqkm_5km,ForCov_5yrs_Prop_5km,Edge_5yrs_length_km_5km,ForLoss_Area_Sqkm_5km,Edge_length_change_km_5km,min_NDVI_5Km,mean_NDVI_5Km,max_NDVI_5Km,total_area_sqkm_Comm_10km,ForCov_Area_Sqkm_10km,ForCov_Prop_10km,Edge_length_km_10km,ForCov_5yrs_Area_Sqkm_10km,ForCov_5yrs_Prop_10km,Edge_5yrs_length_km_10km,ForLoss_Area_Sqkm_10km,Edge_length_change_km_10km,min_NDVI_10Km,mean_NDVI_10Km,max_NDVI_10Km,Corpo_median,Cauda_median,Peso_median,Vertebrate,Invertebrate,Plant,Seed,Fruit,Root,Leaf,Woody,Herbaceous,ForStrat.Value,Activity.Nocturnal,Activity.Crepuscular,Activity.Diurnal,Shannon_H_3km,Menhinick_3km,Fisher_alpha_3km,FDis_3km,FRic_3km,RaoQ_3km,Riqueza_3km,FEve_3km,prev_3Km_final,prev_3Km_hemocultivo,Shannon_H_5km,Menhinick_5km,Fisher_alpha_5km,FDis_5km,FRic_5km,RaoQ_5km,Riqueza_5km,FEve_5km,prev_5Km_final,prev_5Km_hemocultivo,Shannon_H_10km,Menhinick_10km,Fisher_alpha_10km,FDis_10km,FRic_10km,RaoQ_10km,Riqueza_10km,FEve_10km,prev_10Km_final,prev_10Km_hemocultivo
655,Navegantes_Penha_1,Navegantes_Penha_1,Navegantes_Penha_1,Didelphis_albiventris,marsupial,1,Didelphis,albiventris,Santa_Catarina,Navegantes_Penha_SC_2015,3,2005,NA,C,-48.698862,-26.83769,820,Mata_Atlantica,positivo,positivo,NA,1_160,positivo,positivo,positivo,Positivo,NA,NA,NA,NA,NA,NA,NA,36.1715436118999,10.2914854161649,0.284528658775203,71.288429704664,10.0701954409549,0.278410655964594,69.1025129821107,-0.22128997521,2.1859167225533,0.437416643,0.644633319,0.776166677,91.6289865716999,24.66703562205,0.269205592378016,219.319385751,25.397327442758,0.277175688388506,218.28186607,0.730291820708001,1.03751968099999,0.437416643,0.644633319,0.776166677,340.202635965,89.84188862047,0.293452038488595,816.454297682,92.515789407898,0.302190294563489,811.319921287,2.673900787428,5.13437639499989,0.437416643,0.644633319,0.776166677,340,320,750,1,1,1,0,0,0,0,0,0,S,1,0,0,1.405766033,1.091089451,2.076188911,3.353377001,9.460019539,13.52408835,5,0.616503394,0.619047619,0.25,1.405766033,1.091089451,2.076188911,3.353377001,9.460019539,13.52408835,5,0.616503394,0.619047619,0.25,1.405766033,1.091089451,2.076188911,3.353377001,9.460019539,13.52408835,5,0.616503394,0.619047619,0.25
136,Navegantes_Penha_1,Navegantes_Penha_1,Navegantes_Penha_1,Didelphis_albiventris,marsupial,5,Didelphis,albiventris,Santa_Catarina,Navegantes_Penha_SC_2015,3,2005,NA,C,-48.698862,-26.83769,820,Mata_Atlantica,positivo,positivo,NA,1_80,positivo,positivo,positivo,Positivo,NA,NA,NA,NA,NA,NA,NA,36.1715436118999,10.2914854161649,0.284528658775203,71.288429704664,10.0701954409549,0.278410655964594,69.1025129821107,-0.22128997521,2.1859167225533,0.437416643,0.644633319,0.776166677,91.6289865716999,24.66703562205,0.269205592378016,219.319385751,25.397327442758,0.277175688388506,218.28186607,0.730291820708001,1.03751968099999,0.437416643,0.644633319,0.776166677,340.202635965,89.84188862047,0.293452038488595,816.454297682,92.515789407898,0.302190294563489,811.319921287,2.673900787428,5.13437639499989,0.437416643,0.644633319,0.776166677,340,320,750,1,1,1,0,0,0,0,0,0,S,1,0,0,1.405766,1.091089,2.076189,3.353377,9.46002,13.52409,5,0.6165034,0.6190476,0.25,1.405766,1.091089,2.076189,3.353377,9.46002,13.52409,5,0.6165034,0.6190476,0.25,1.405766,1.091089,2.076189,3.353377,9.46002,13.52409,5,0.6165034,0.6190476,0.25
137,Navegantes_Penha_1,Navegantes_Penha_1,Navegantes_Penha_1,Didelphis_aurita,marsupial,6,Didelphis,aurita,Santa_Catarina,Navegantes_Penha_SC_2015,3,2005,NA,G,-48.70532,-26.841386,820,Mata_Atlantica,negativo,negativo,NA,1_40,positivo,positivo,positivo,Positivo,NA,NA,NA,NA,NA,NA,NA,36.1715436118999,10.2914854161649,0.284528658775203,71.288429704664,10.0701954409549,0.278410655964594,69.1025129821107,-0.22128997521,2.1859167225533,0.437416643,0.644633319,0.776166677,91.6289865716999,24.66703562205,0.269205592378016,219.319385751,25.397327442758,0.277175688388506,218.28186607,0.730291820708001,1.03751968099999,0.437416643,0.644633319,0.776166677,340.202635965,89.84188862047,0.293452038488595,816.454297682,92.515789407898,0.302190294563489,811.319921287,2.673900787428,5.13437639499989,0.437416643,0.644633319,0.776166677,340,325,850,1,1,1,0,0,0,0,0,0,S,1,0,0,1.405766,1.091089,2.076189,3.353377,9.46002,13.52409,5,0.6165034,0.6190476,0.25,1.405766,1.091089,2.076189,3.353377,9.46002,13.52409,5,0.6165034,0.6190476,0.25,1.405766,1.091089,2.076189,3.353377,9.46002,13.52409,5,0.6165034,0.6190476,0.25
138,Navegantes_Penha_1,Navegantes_Penha_1,Navegantes_Penha_1,Didelphis_albiventris,marsupial,7,Didelphis,albiventris,Santa_Catarina,Navegantes_Penha_SC_2015,4,2005,NA,G,-48.70532,-26.841386,820,Mata_Atlantica,negativo,negativo,NA,1_20,negativo,negativo,negativo,Negativo,NA,NA,NA,NA,NA,NA,NA,36.1715436118999,10.2914854161649,0.284528658775203,71.288429704664,10.0701954409549,0.278410655964594,69.1025129821107,-0.22128997521,2.1859167225533,0.437416643,0.644633319,0.776166677,91.6289865716999,24.66703562205,0.269205592378016,219.319385751,25.397327442758,0.277175688388506,218.28186607,0.730291820708001,1.03751968099999,0.437416643,0.644633319,0.776166677,340.202635965,89.84188862047,0.293452038488595,816.454297682,92.515789407898,0.302190294563489,811.319921287,2.673900787428,5.13437639499989,0.437416643,0.644633319,0.776166677,340,320,750,1,1,1,0,0,0,0,0,0,S,1,0,0,1.405766,1.091089,2.076189,3.353377,9.46002,13.52409,5,0.6165034,0.6190476,0.25,1.405766,1.091089,2.076189,3.353377,9.46002,13.52409,5,0.6165034,0.6190476,0.25,1.405766,1.091089,2.076189,3.353377,9.46002,13.52409,5,0.6165034,0.6190476,0.25
152,Navegantes_Penha_1,Navegantes_Penha_1,Navegantes_Penha_1,Didelphis_aurita,marsupial,8,Didelphis,aurita,Santa_Catarina,Navegantes_Penha_SC_2015,4,2005,NA,G,-48.70532,-26.841386,820,Mata_Atlantica,positivo,positivo,NA,1_320,positivo,positivo,positivo,Positivo,NA,NA,NA,NA,NA,NA,NA,36.1715436118999,10.2914854161649,0.284528658775203,71.288429704664,10.0701954409549,0.278410655964594,69.1025129821107,-0.22128997521,2.1859167225533,0.437416643,0.644633319,0.776166677,91.6289865716999,24.66703562205,0.269205592378016,219.319385751,25.397327442758,0.277175688388506,218.28186607,0.730291820708001,1.03751968099999,0.437416643,0.644633319,0.776166677,340.202635965,89.84188862047,0.293452038488595,816.454297682,92.515789407898,0.302190294563489,811.319921287,2.673900787428,5.13437639499989,0.437416643,0.644633319,0.776166677,340,325,850,1,1,1,0,0,0,0,0,0,S,1,0,0,1.405766,1.091089,2.076189,3.353377,9.46002,13.52409,5,0.6165034,0.6190476,0.25,1.405766,1.091089,2.076189,3.353377,9.46002,13.52409,5,0.6165034,0.6190476,0.25,1.405766,1.091089,2.076189,3.353377,9.46002,13.52409,5,0.6165034,0.6190476,0.25
140,Capitao_Andrade_1,Capitao_Andrade_1,Capitao_Andrade_1,Didelphis_aurita,marsupial,5550,Didelphis,aurita,Minas_Gerais,Capitao_Andrade,7,2003,M,F,-41.87588889,-19.07722222,2110,Mata_Atlantica,negativo,negativo,NA,1_80,positivo,NA,positivo,NA,NA,440,390,57,66,61,1370,80.7463561341999,10.10219305,0.125110203,206.6216682,11.6967754542034,0.144858245176016,240.46048034086,1.5945824042034,-33.83881214086,0.557154179,0.588661999,0.630979121,169.603514741,25.567002994808,0.15074571443027,474.123805133,27.266048251313,0.16076346234904,528.374552558,1.699045256505,-54.250747425,0.557154179,0.588661999,0.630979121,496.310376614,66.198515563018,0.133425910014242,1217.659770486,71.934526373047,0.144990416953279,1346.711075551,5.736010810029,-129.051305065,0.557154179,0.588661999,0.630979121,340,325,850,1,1,1,0,0,0,0,0,0,S,1,0,0,1.807231,1.154701,2.741324,3.65583,12.37002,13.43882,8,0.8321896,0.3043478,0.06521739,1.807231,1.154701,2.741324,3.65583,12.37002,13.43882,8,0.8321896,0.3043478,0.06521739,1.807231,1.154701,2.741324,3.65583,12.37002,13.43882,8,0.8321896,0.3043478,0.06521739
141,Capitao_Andrade_1,Capitao_Andrade_1,Capitao_Andrade_1,Didelphis_aurita,marsupial,5551,Didelphis,aurita,Minas_Gerais,Capitao_Andrade,7,2003,F,G,-41.87708333,-19.07438889,2110,Mata_Atlantica,negativo,negativo,NA,1_10,negativo,NA,negativo,NA,NA,NA,NA,NA,NA,NA,690,80.7463561341999,10.10219305,0.125110203,206.6216682,11.6967754542034,0.144858245176016,240.46048034086,1.5945824042034,-33.83881214086,0.557154179,0.588661999,0.630979121,169.603514741,25.567002994808,0.15074571443027,474.123805133,27.266048251313,0.16076346234904,528.374552558,1.699045256505,-54.250747425,0.557154179,0.588661999,0.630979121,496.310376614,66.198515563018,0.133425910014242,1217.659770486,71.934526373047,0.144990416953279,1346.711075551,5.736010810029,-129.051305065,0.557154179,0.588661999,0.630979121,340,325,850,1,1,1,0,0,0,0,0,0,S,1,0,0,1.807231,1.154701,2.741324,3.65583,12.37002,13.43882,8,0.8321896,0.3043478,0.06521739,1.807231,1.154701,2.741324,3.65583,12.37002,13.43882,8,0.8321896,0.3043478,0.06521739,1.807231,1.154701,2.741324,3.65583,12.37002,13.43882,8,0.8321896,0.3043478,0.06521739
154,Capitao_Andrade_1,Capitao_Andrade_1,Capitao_Andrade_1,Akodon_cursor,rodent,5552,Akodon,cursor,Minas_Gerais,Capitao_Andrade,7,2003,F,G,-41.87708333,-19.07438889,2110,Mata_Atlantica,negativo,negativo,NA,1_10,positivo,NA,positivo,NA,NA,100,75,NA,26,24,30,80.7463561341999,10.10219305,0.125110203,206.6216682,11.6967754542034,0.144858245176016,240.46048034086,1.5945824042034,-33.83881214086,0.557154179,0.588661999,0.630979121,169.603514741,25.567002994808,0.15074571443027,474.123805133,27.266048251313,0.16076346234904,528.374552558,1.699045256505,-54.250747425,0.557154179,0.588661999,0.630979121,496.310376614,66.198515563018,0.133425910014242,1217.659770486,71.934526373047,0.144990416953279,1346.711075551,5.736010810029,-129.051305065,0.557154179,0.588661999,0.630979121,118,88,45,0,1,1,0,0,0,0,0,0,G,1,1,1,1.807231,1.154701,2.741324,3.65583,12.37002,13.43882,8,0.8321896,0.3043478,0.06521739,1.807231,1.154701,2.741324,3.65583,12.37002,13.43882,8,0.8321896,0.3043478,0.06521739,1.807231,1.154701,2.741324,3.65583,12.37002,13.43882,8,0.8321896,0.3043478,0.06521739
143,Capitao_Andrade_1,Capitao_Andrade_1,Capitao_Andrade_1,Didelphis_aurita,marsupial,5553,Didelphis,aurita,Minas_Gerais,Capitao_Andrade,7,2003,F,A,-41.82519444,-19.04205556,2110,Mata_Atlantica,negativo,negativo,NA,1_10,negativo,NA,negativo,NA,NA,NA,NA,NA,NA,NA,595,80.7463561341999,10.10219305,0.125110203,206.6216682,11.6967754542034,0.144858245176016,240.46048034086,1.5945824042034,-33.83881214086,0.557154179,0.588661999,0.630979121,169.603514741,25.567002994808,0.15074571443027,474.123805133,27.266048251313,0.16076346234904,528.374552558,1.699045256505,-54.250747425,0.557154179,0.588661999,0.630979121,496.310376614,66.198515563018,0.133425910014242,1217.659770486,71.934526373047,0.144990416953279,1346.711075551,5.736010810029,-129.051305065,0.557154179,0.588661999,0.630979121,340,325,850,1,1,1,0,0,0,0,0,0,S,1,0,0,1.807231,1.154701,2.741324,3.65583,12.37002,13.43882,8,0.8321896,0.3043478,0.06521739,1.807231,1.154701,2.741324,3.65583,12.37002,13.43882,8,0.8321896,0.3043478,0.06521739,1.807231,1.154701,2.741324,3.65583,12.37002,13.43882,8,0.8321896,0.3043478,0.06521739
144,Capitao_Andrade_1,Capitao_Andrade_1,Capitao_Andrade_1,Didelphis_aurita,marsupial,5554,Didelphis,aurita,Minas_Gerais,Capitao_Andrade,7,2003,F,A,-41.82519444,-19.04205556,2110,Mata_Atlantica,negativo,negativo,NA,negativo,negativo,NA,negativo,NA,NA,NA,NA,NA,NA,NA,980,80.7463561341999,10.10219305,0.125110203,206.6216682,11.6967754542034,0.144858245176016,240.46048034086,1.5945824042034,-33.83881214086,0.557154179,0.588661999,0.630979121,169.603514741,25.567002994808,0.15074571443027,474.123805133,27.266048251313,0.16076346234904,528.374552558,1.699045256505,-54.250747425,0.557154179,0.588661999,0.630979121,496.310376614,66.198515563018,0.133425910014242,1217.659770486,71.934526373047,0.144990416953279,1346.711075551,5.736010810029,-129.051305065,0.557154179,0.588661999,0.630979121,340,325,850,1,1,1,0,0,0,0,0,0,S,1,0,0,1.807231,1.154701,2.741324,3.65583,12.37002,13.43882,8,0.8321896,0.3043478,0.06521739,1.807231,1.154701,2.741324,3.65583,12.37002,13.43882,8,0.8321896,0.3043478,0.06521739,1.807231,1.154701,2.741324,3.65583,12.37002,13.43882,8,0.8321896,0.3043478,0.06521739
153,Capitao_Andrade_1,Capitao_Andrade_1,Capitao_Andrade_1,Didelphis_aurita,marsupial,5555,Didelphis,aurita,Minas_Gerais,Capitao_Andrade,7,2003,M,H,-41.87275,-19.06830556,2110,Mata_Atlantica,negativo,negativo,NA,negativo,negativo,NA,negativo,NA,NA,NA,NA,NA,NA,NA,865,80.7463561341999,10.10219305,0.125110203,206.6216682,11.6967754542034,0.144858245176016,240.46048034086,1.5945824042034,-33.83881214086,0.557154179,0.588661999,0.630979121,169.603514741,25.567002994808,0.15074571443027,474.123805133,27.266048251313,0.16076346234904,528.374552558,1.699045256505,-54.250747425,0.557154179,0.588661999,0.630979121,496.310376614,66.198515563018,0.133425910014242,1217.659770486,71.934526373047,0.144990416953279,1346.711075551,5.736010810029,-129.051305065,0.557154179,0.588661999,0.630979121,340,325,850,1,1,1,0,0,0,0,0,0,S,1,0,0,1.807231,1.154701,2.741324,3.65583,12.37002,13.43882,8,0.8321896,0.3043478,0.06521739,1.807231,1.154701,2.741324,3.65583,12.37002,13.43882,8,0.8321896,0.3043478,0.06521739,1.807231,1.154701,2.741324,3.65583,12.37002,13.43882,8,0.8321896,0.3043478,0.06521739
151,Capitao_Andrade_1,Capitao_Andrade_1,Capitao_Andrade_1,Calomys_cerqueirae,rodent,5556,Calomys,cerqueirae,Minas_Gerais,Capitao_Andrade,7,2003,M,A,-41.82519444,-19.04205556,2110,Mata_Atlantica,negativo,negativo,NA,1_40,positivo,NA,positivo,NA,NA,86,75,16,21,18,25,80.7463561341999,10.10219305,0.125110203,206.6216682,11.6967754542034,0.144858245176016,240.46048034086,1.5945824042034,-33.83881214086,0.557154179,0.588661999,0.630979121,169.603514741,25.567002994808,0.15074571443027,474.123805133,27.266048251313,0.16076346234904,528.374552558,1.699045256505,-54.250747425,0.557154179,0.588661999,0.630979121,496.310376614,66.198515563018,0.133425910014242,1217.659770486,71.934526373047,0.144990416953279,1346.711075551,5.736010810029,-129.051305065,0.557154179,0.588661999,0.630979121,99,80,25,0,1,1,0,0,0,0,0,0,G,1,1,0,1.807231,1.154701,2.741324,3.65583,12.37002,13.43882,8,0.8321896,0.3043478,0.06521739,1.807231,1.154701,2.741324,3.65583,12.37002,13.43882,8,0.8321896,0.3043478,0.06521739,1.807231,1.154701,2.741324,3.65583,12.37002,13.43882,8,0.8321896,0.3043478,0.06521739
147,Capitao_Andrade_1,Capitao_Andrade_1,Capitao_Andrade_1,Nectomys_squamipes,rodent,5557,Nectomys,squamipes,Minas_Gerais,Capitao_Andrade,7,2003,F,C,-41.81938889,-19.02147222,2110,Mata_Atlantica,negativo,negativo,NA,1_320,positivo,NA,positivo,NA,NA,165,180,15,43,39,120,80.7463561341999,10.10219305,0.125110203,206.6216682,11.6967754542034,0.144858245176016,240.46048034086,1.5945824042034,-33.83881214086,0.557154179,0.588661999,0.630979121,169.603514741,25.567002994808,0.15074571443027,474.123805133,27.266048251313,0.16076346234904,528.374552558,1.699045256505,-54.250747425,0.557154179,0.588661999,0.630979121,496.310376614,66.198515563018,0.133425910014242,1217.659770486,71.934526373047,0.144990416953279,1346.711075551,5.736010810029,-129.051305065,0.557154179,0.588661999,0.630979121,195,200,210,0,1,0,0,0,0,0,0,0,G,1,0,0,1.807231,1.154701,2.741324,3.65583,12.37002,13.43882,8,0.8321896,0.3043478,0.06521739,1.807231,1.154701,2.741324,3.65583,12.37002,13.43882,8,0.8321896,0.3043478,0.06521739,1.807231,1.154701,2.741324,3.65583,12.37002,13.43882,8,0.8321896,0.3043478,0.06521739
155,Capitao_Andrade_1,Capitao_Andrade_1,Capitao_Andrade_1,Oligoryzomys_nigripes,rodent,5559,Oligoryzomys,nigripes,Minas_Gerais,Capitao_Andrade,7,2003,M,A,-41.82519444,-19.04205556,2110,Mata_Atlantica,negativo,negativo,NA,negativo,negativo,NA,negativo,NA,NA,93,125,17,27,26,30,80.7463561341999,10.10219305,0.125110203,206.6216682,11.6967754542034,0.144858245176016,240.46048034086,1.5945824042034,-33.83881214086,0.557154179,0.588661999,0.630979121,169.603514741,25.567002994808,0.15074571443027,474.123805133,27.266048251313,0.16076346234904,528.374552558,1.699045256505,-54.250747425,0.557154179,0.588661999,0.630979121,496.310376614,66.198515563018,0.133425910014242,1217.659770486,71.934526373047,0.144990416953279,1346.711075551,5.736010810029,-129.051305065,0.557154179,0.588661999,0.630979121,90,117,20,0,0,1,0,0,0,0,0,0,G,1,0,0,1.807231,1.154701,2.741324,3.65583,12.37002,13.43882,8,0.8321896,0.3043478,0.06521739,1.807231,1.154701,2.741324,3.65583,12.37002,13.43882,8,0.8321896,0.3043478,0.06521739,1.807231,1.154701,2.741324,3.65583,12.37002,13.43882,8,0.8321896,0.3043478,0.06521739
149,Capitao_Andrade_1,Capitao_Andrade_1,Capitao_Andrade_1,Thrichomys_apereoides,rodent,5560,Thrichomys,apereoides,Minas_Gerais,Capitao_Andrade,7,2003,F,I,-41.83305556,-19.03719444,2110,Mata_Atlantica,negativo,negativo,NA,1_80,positivo,NA,positivo,NA,NA,168,155,20,40,44,140,80.7463561341999,10.10219305,0.125110203,206.6216682,11.6967754542034,0.144858245176016,240.46048034086,1.5945824042034,-33.83881214086,0.557154179,0.588661999,0.630979121,169.603514741,25.567002994808,0.15074571443027,474.123805133,27.266048251313,0.16076346234904,528.374552558,1.699045256505,-54.250747425,0.557154179,0.588661999,0.630979121,496.310376614,66.198515563018,0.133425910014242,1217.659770486,71.934526373047,0.144990416953279,1346.711075551,5.736010810029,-129.051305065,0.557154179,0.588661999,0.630979121,222,190,260,0,0,1,1,1,0,0,0,0,G,1,0,0,1.807231,1.154701,2.741324,3.65583,12.37002,13.43882,8,0.8321896,0.3043478,0.06521739,1.807231,1.154701,2.741324,3.65583,12.37002,13.43882,8,0.8321896,0.3043478,0.06521739,1.807231,1.154701,2.741324,3.65583,12.37002,13.43882,8,0.8321896,0.3043478,0.06521739
150,Capitao_Andrade_1,Capitao_Andrade_1,Capitao_Andrade_1,Thrichomys_apereoides,rodent,5561,Thrichomys,apereoides,Minas_Gerais,Capitao_Andrade,7,2003,M,I,-41.83305556,-19.03719444,2110,Mata_Atlantica,negativo,negativo,NA,1_80,positivo,NA,positivo,NA,NA,160,177,23,47,43,190,80.7463561341999,10.10219305,0.125110203,206.6216682,11.6967754542034,0.144858245176016,240.46048034086,1.5945824042034,-33.83881214086,0.557154179,0.588661999,0.630979121,169.603514741,25.567002994808,0.15074571443027,474.123805133,27.266048251313,0.16076346234904,528.374552558,1.699045256505,-54.250747425,0.557154179,0.588661999,0.630979121,496.310376614,66.198515563018,0.133425910014242,1217.659770486,71.934526373047,0.144990416953279,1346.711075551,5.736010810029,-129.051305065,0.557154179,0.588661999,0.630979121,222,190,260,0,0,1,1,1,0,0,0,0,G,1,0,0,1.807231,1.154701,2.741324,3.65583,12.37002,13.43882,8,0.8321896,0.3043478,0.06521739,1.807231,1.154701,2.741324,3.65583,12.37002,13.43882,8,0.8321896,0.3043478,0.06521739,1.807231,1.154701,2.741324,3.65583,12.37002,13.43882,8,0.8321896,0.3043478,0.06521739
129,Capitao_Andrade_1,Capitao_Andrade_1,Capitao_Andrade_1,Nectomys_squamipes,rodent,5562,Nectomys,squamipes,Minas_Gerais,Capitao_Andrade,7,2003,M,G,-41.87708333,-19.07438889,2110,Mata_Atlantica,negativo,negativo,NA,1_160,positivo,NA,positivo,NA,NA,180,190,15,51,47,170,80.7463561341999,10.10219305,0.125110203,206.6216682,11.6967754542034,0.144858245176016,240.46048034086,1.5945824042034,-33.83881214086,0.557154179,0.588661999,0.630979121,169.603514741,25.567002994808,0.15074571443027,474.123805133,27.266048251313,0.16076346234904,528.374552558,1.699045256505,-54.250747425,0.557154179,0.588661999,0.630979121,496.310376614,66.198515563018,0.133425910014242,1217.659770486,71.934526373047,0.144990416953279,1346.711075551,5.736010810029,-129.051305065,0.557154179,0.588661999,0.630979121,195,200,210,0,1,0,0,0,0,0,0,0,G,1,0,0,1.807231,1.154701,2.741324,3.65583,12.37002,13.43882,8,0.8321896,0.3043478,0.06521739,1.807231,1.154701,2.741324,3.65583,12.37002,13.43882,8,0.8321896,0.3043478,0.06521739,1.807231,1.154701,2.741324,3.65583,12.37002,13.43882,8,0.8321896,0.3043478,0.06521739
133,Capitao_Andrade_1,Capitao_Andrade_1,Capitao_Andrade_1,Nectomys_squamipes,rodent,5563,Nectomys,squamipes,Minas_Gerais,Capitao_Andrade,7,2003,M,D,-41.82961111,-19.04369444,2110,Mata_Atlantica,positivo,positivo,NA,1_160,positivo,NA,positivo,NA,NA,190,203,23,51,48,140,80.7463561341999,10.10219305,0.125110203,206.6216682,11.6967754542034,0.144858245176016,240.46048034086,1.5945824042034,-33.83881214086,0.557154179,0.588661999,0.630979121,169.603514741,25.567002994808,0.15074571443027,474.123805133,27.266048251313,0.16076346234904,528.374552558,1.699045256505,-54.250747425,0.557154179,0.588661999,0.630979121,496.310376614,66.198515563018,0.133425910014242,1217.659770486,71.934526373047,0.144990416953279,1346.711075551,5.736010810029,-129.051305065,0.557154179,0.588661999,0.630979121,195,200,210,0,1,0,0,0,0,0,0,0,G,1,0,0,1.807231,1.154701,2.741324,3.65583,12.37002,13.43882,8,0.8321896,0.3043478,0.06521739,1.807231,1.154701,2.741324,3.65583,12.37002,13.43882,8,0.8321896,0.3043478,0.06521739,1.807231,1.154701,2.741324,3.65583,12.37002,13.43882,8,0.8321896,0.3043478,0.06521739
139,Capitao_Andrade_1,Capitao_Andrade_1,Capitao_Andrade_1,Didelphis_aurita,marsupial,5564,Didelphis,aurita,Minas_Gerais,Capitao_Andrade,7,2003,NA,C,-41.81938889,-19.02147222,2110,Mata_Atlantica,negativo,negativo,NA,negativo,negativo,NA,negativo,NA,NA,NA,NA,NA,NA,NA,490,80.7463561341999,10.10219305,0.125110203,206.6216682,11.6967754542034,0.144858245176016,240.46048034086,1.5945824042034,-33.83881214086,0.557154179,0.588661999,0.630979121,169.603514741,25.567002994808,0.15074571443027,474.123805133,27.266048251313,0.16076346234904,528.374552558,1.699045256505,-54.250747425,0.557154179,0.588661999,0.630979121,496.310376614,66.198515563018,0.133425910014242,1217.659770486,71.934526373047,0.144990416953279,1346.711075551,5.736010810029,-129.051305065,0.557154179,0.588661999,0.630979121,340,325,850,1,1,1,0,0,0,0,0,0,S,1,0,0,1.807231,1.154701,2.741324,3.65583,12.37002,13.43882,8,0.8321896,0.3043478,0.06521739,1.807231,1.154701,2.741324,3.65583,12.37002,13.43882,8,0.8321896,0.3043478,0.06521739,1.807231,1.154701,2.741324,3.65583,12.37002,13.43882,8,0.8321896,0.3043478,0.06521739
131,Capitao_Andrade_1,Capitao_Andrade_1,Capitao_Andrade_1,Didelphis_aurita,marsupial,5565,Didelphis,aurita,Minas_Gerais,Capitao_Andrade,7,2003,M,I,-41.83305556,-19.03719444,2110,Mata_Atlantica,positivo,positivo,NA,1_40,positivo,NA,positivo,NA,NA,NA,NA,NA,NA,NA,820,80.7463561341999,10.10219305,0.125110203,206.6216682,11.6967754542034,0.144858245176016,240.46048034086,1.5945824042034,-33.83881214086,0.557154179,0.588661999,0.630979121,169.603514741,25.567002994808,0.15074571443027,474.123805133,27.266048251313,0.16076346234904,528.374552558,1.699045256505,-54.250747425,0.557154179,0.588661999,0.630979121,496.310376614,66.198515563018,0.133425910014242,1217.659770486,71.934526373047,0.144990416953279,1346.711075551,5.736010810029,-129.051305065,0.557154179,0.588661999,0.630979121,340,325,850,1,1,1,0,0,0,0,0,0,S,1,0,0,1.807231,1.154701,2.741324,3.65583,12.37002,13.43882,8,0.8321896,0.3043478,0.06521739,1.807231,1.154701,2.741324,3.65583,12.37002,13.43882,8,0.8321896,0.3043478,0.06521739,1.807231,1.154701,2.741324,3.65583,12.37002,13.43882,8,0.8321896,0.3043478,0.06521739
132,Capitao_Andrade_1,Capitao_Andrade_1,Capitao_Andrade_1,Nectomys_squamipes,rodent,5566,Nectomys,squamipes,Minas_Gerais,Capitao_Andrade,7,2003,M,H,-41.87275,-19.06830556,2110,Mata_Atlantica,negativo,negativo,NA,1_80,positivo,NA,positivo,NA,NA,165,169,21,47,44,90,80.7463561341999,10.10219305,0.125110203,206.6216682,11.6967754542034,0.144858245176016,240.46048034086,1.5945824042034,-33.83881214086,0.557154179,0.588661999,0.630979121,169.603514741,25.567002994808,0.15074571443027,474.123805133,27.266048251313,0.16076346234904,528.374552558,1.699045256505,-54.250747425,0.557154179,0.588661999,0.630979121,496.310376614,66.198515563018,0.133425910014242,1217.659770486,71.934526373047,0.144990416953279,1346.711075551,5.736010810029,-129.051305065,0.557154179,0.588661999,0.630979121,195,200,210,0,1,0,0,0,0,0,0,0,G,1,0,0,1.807231,1.154701,2.741324,3.65583,12.37002,13.43882,8,0.8321896,0.3043478,0.06521739,1.807231,1.154701,2.741324,3.65583,12.37002,13.43882,8,0.8321896,0.3043478,0.06521739,1.807231,1.154701,2.741324,3.65583,12.37002,13.43882,8,0.8321896,0.3043478,0.06521739
